Culture,Fungus,Lichen
ASV3057,,ASV3038
ASV3061,,ASV3039
ASV3062,,ASV304
ASV3063,,ASV3040
ASV3064,,ASV3041
ASV3065,,ASV3043
ASV3066,,ASV3044
ASV3067,,ASV3045
ASV3068,,ASV307
ASV307,,ASV3076
ASV309,,ASV3077
ASV31,,ASV3078
ASV310,,ASV3079
ASV313,,ASV308
ASV3130,,ASV3080
ASV3131,,ASV3081
ASV3132,,ASV3082
ASV3133,,ASV3083
ASV3134,,ASV3085
ASV3136,,ASV3088
ASV3137,,ASV3089
ASV3139,,ASV309
ASV314,,ASV3090
ASV3140,,ASV3091
ASV3141,,ASV3092
ASV3142,,ASV3093
ASV3143,,ASV3094
ASV3144,,ASV3095
ASV3145,,ASV3097
ASV3146,,ASV3098
ASV3147,,ASV3099
ASV3148,,ASV31
ASV3149,,ASV310
ASV3150,,ASV3100
ASV3151,,ASV3101
ASV3155,,ASV3102
ASV3156,,ASV3103
ASV3157,,ASV3107
ASV317,,ASV3108
ASV318,,ASV311
ASV320,,ASV3112
ASV3209,,ASV3113
ASV321,,ASV3114
ASV3210,,ASV312
ASV3211,,ASV313
ASV3214,,ASV314
ASV3215,,ASV315
ASV3219,,ASV3165
ASV322,,ASV3166
ASV3221,,ASV3167
ASV3222,,ASV3168
ASV3224,,ASV3169
ASV3225,,ASV317
ASV3227,,ASV3171
ASV3228,,ASV3172
ASV3230,,ASV3173
ASV3231,,ASV3174
ASV3232,,ASV3175
ASV3233,,ASV3176
ASV3234,,ASV3177
ASV3235,,ASV3178
ASV3236,,ASV3179
ASV3237,,ASV318
ASV3238,,ASV3180
ASV3239,,ASV3181
ASV3241,,ASV3184
ASV3242,,ASV3186
ASV3243,,ASV3187
ASV3244,,ASV3188
ASV326,,ASV3189
ASV33,,ASV319
ASV330,,ASV3190
ASV3309,,ASV3191
ASV331,,ASV3192
ASV3310,,ASV3193
ASV3311,,ASV3194
ASV3313,,ASV3195
ASV3315,,ASV3196
ASV3316,,ASV3197
ASV3317,,ASV3198
ASV3318,,ASV3199
ASV3319,,ASV320
ASV332,,ASV3200
ASV3320,,ASV3201
ASV3321,,ASV3202
ASV3323,,ASV322
ASV3324,,ASV3253
ASV3325,,ASV3254
ASV3328,,ASV3255
ASV3329,,ASV3256
ASV3330,,ASV3257
ASV3331,,ASV3259
ASV3332,,ASV326
ASV3334,,ASV3260
ASV3335,,ASV3261
ASV3337,,ASV3263
ASV3339,,ASV3264
ASV334,,ASV3265
ASV3340,,ASV3266
ASV3341,,ASV3267
ASV3342,,ASV3268
ASV3343,,ASV327
ASV3346,,ASV3270
ASV336,,ASV3271
ASV337,,ASV3272
ASV341,,ASV3274
ASV3415,,ASV3276
ASV3416,,ASV3279
ASV3417,,ASV328
ASV3418,,ASV3281
ASV3420,,ASV3284
ASV3421,,ASV3285
ASV3422,,ASV3288
ASV3424,,ASV3289
ASV3425,,ASV3290
ASV3427,,ASV3291
ASV3429,,ASV3292
ASV343,,ASV3293
ASV3432,,ASV3294
ASV3433,,ASV3295
ASV3434,,ASV3296
ASV3435,,ASV3297
ASV3436,,ASV33
ASV3437,,ASV330
ASV3438,,ASV331
ASV344,,ASV332
ASV3440,,ASV334
ASV3441,,ASV335
ASV3442,,ASV3356
ASV3443,,ASV3357
ASV3444,,ASV3358
ASV3445,,ASV3359
ASV345,,ASV3360
