Sample,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-63,C+AC0-FOMI+AC0-AGAR+AC0-POT+AC0-64,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-65,C+AC0-PENI+AC0-AGAR+AC0-OAT+AC0-66,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-56,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-57,C+AC0-PENI+AC0-AGAR+AC0-POT+AC0-62,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-50,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-52,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-59,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-60,C+AC0-UNKN+AC0-AGAR+AC0-OAT+AC0-61,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-55,C+AC0-UNKN+AC0-AGAR+AC0-POT+AC0-67,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-20,F+AC0-MSUB+AC0-WOOD+AC0-EPB+AC0-22,F+AC0-MSUB+AC0-WOOD+AC0-SAB+AC0-28,L+AC0-CBRA+AC0-BARK+AC0-BOJ+AC0-02,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-01,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-11,L+AC0-CFUR+AC0-BARK+AC0-BOJ+AC0-12,L+AC0-CFUR+AC0-WOOD+AC0-BOJ+AC0-15,L+AC0-CSTE+AC0-BARK+AC0-UKN+AC0-42,L+AC0-CSTE+AC0-WOOD+AC0-EPB+AC0-39,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-06,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-08,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-21,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-36,L+AC0-CTRI+AC0-BARK+AC0-BOJ+AC0-46,L+AC0-CTRI+AC0-WOOD+AC0-BOJ+AC0-26
neg2830,2367,0,95388,55387,132071,28971,95076,116370,26670,308786,10622824,15675618,182161,141326,367979,423362,21892,410394,137106,42195,273352,0,101620,39291,14856,45883,25818,16736,95695,8368
neg2837,0,0,4556,0,97468,15734,1684373,30657,33723810,8243,19100,60250,14117397,9128,1147297,1327672,159463,566685,428686,124468,524323,496077,7299236,1699749,945213,303512,864289,458232,1399134,699345
neg2839,0,0,0,0,146869,0,5068,0,83022100,0,0,0,16691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg2843,0,0,0,0,3676700,6865029,0,0,14683331,0,0,17562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg2847,93791,17140,5642,30180,64593,17870,256452,18685,332611,11784,68416,164201,59968,747038,4718758,873063262,57792963,1148681,1752082,4352647,3790794,326938,3549995,494981,2147534,401017,1756536,504307,674526,257143
neg285,11744827,15542305,12447442,9826066,10850079,8732362,15840523,10231734,9274796,11461051,19042844,11359391,15840171,13972089,9585910,10453888,7082016,3515665,4710962,18057608,4327706,8709335,8301344,2785762,12257588,8360484,10395350,9735770,6848042,11990974
neg2852,0,4764,0,0,0,0,0,0,0,0,4463395,10917301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6468,8748,0
neg2860,0,0,596931,207048,169655,5730,319960,265339,16874,810855,8979174,4009500,127048,0,0,0,0,0,0,0,0,19813,3530,6184,0,0,0,0,0,20400
neg2863,152435,191201,333453,1451842,1110523,265488,766933,1471336,5368912,327672,307404,2076046,949133,220873,508336,169546,102008,80061,170260,147172,674942,602454,68224,13284,119659,99178,407004,64420,138903,138319
neg2866,0,0,0,0,0,0,0,0,4973648,0,0,0,0,0,0,0,0,0,0,0,0,12114,0,0,0,0,2211,0,0,1712
neg2875,0,0,0,0,66759,0,88160,0,1687361,0,0,0,11269,0,1523485,552469,138866,129097,182591,160491,281591,51887,8612292,275470,1395007,405765,377753,970944,1324847,1882641
neg2881,0,0,0,0,8007,0,0,0,6705875,4693,0,0,0,0,40270,7521,4095,0,0,4661,9535,0,17692,8290,0,0,5784,0,0,0
neg2882,0,0,83955,644726,390204,15687,143146,1391918,958937,36046,9590,426647,70741,22450,28801,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0
neg2886,45773,100806,11060596,19593364,105749335,3236173,300235,1062689,1624447,14968544,643463,184825,146980,2974160,415848,470503,287450,781427,1203128,405341,1134933,574736,422246,121315,939747,451202,462543,1734111,1706725,197597
