Culture,Fungus,Lichen
neg15652,neg16655,neg15611
neg15658,neg16666,neg15614
neg15664,neg16668,neg15615
neg15668,neg1667,neg15616
neg1568,neg16697,neg15620
neg15680,neg16698,neg15621
neg15684,neg16719,neg15628
neg15686,neg1675,neg15632
neg1570,neg16757,neg15641
neg15700,neg16779,neg15644
neg15710,neg16786,neg15652
neg15715,neg16805,neg15658
neg15727,neg1681,neg15664
neg15740,neg16818,neg15668
neg1575,neg16834,neg1568
neg15764,neg16836,neg15680
neg15781,neg16840,neg15684
neg15800,neg16845,neg15686
neg15817,neg16849,neg1570
neg15819,neg16881,neg15700
neg15830,neg16887,neg15710
neg15847,neg1689,neg15715
neg15859,neg16892,neg15727
neg15872,neg16926,neg15740
neg15877,neg16927,neg1575
neg15882,neg16938,neg15764
neg15884,neg1694,neg15781
neg15893,neg16941,neg15800
neg1590,neg17007,neg15817
neg15915,neg17044,neg15819
neg15918,neg17050,neg15830
neg15943,neg17058,neg15847
neg15949,neg17085,neg15859
neg1595,neg17096,neg15872
neg15966,neg17107,neg15877
neg1597,neg1711,neg15882
neg15981,neg1712,neg15884
neg16012,neg17128,neg15893
neg16027,neg17131,neg1590
neg16049,neg1718,neg15915
neg16074,neg172,neg15918
neg16115,neg17214,neg15943
neg1612,neg1723,neg15949
neg16147,neg17238,neg1595
neg1616,neg17257,neg15966
neg1619,neg17259,neg1597
neg16190,neg17261,neg15981
neg1620,neg17265,neg16012
neg16215,neg17268,neg16027
neg1623,neg17271,neg16049
neg16245,neg17277,neg16074
neg16246,neg17285,neg16115
neg16251,neg17295,neg1612
neg16257,neg17296,neg16147
neg16260,neg17297,neg1616
neg16263,neg17310,neg1619
neg1627,neg17315,neg16190
neg16289,neg1732,neg1620
neg1630,neg17353,neg16215
neg16323,neg17356,neg1623
neg1633,neg17363,neg16245
neg16341,neg17368,neg16246
neg16374,neg17375,neg16251
neg16375,neg17378,neg16257
neg16380,neg17392,neg16260
neg16381,neg17393,neg16263
neg16384,neg17409,neg1627
neg16395,neg17431,neg16289
neg16404,neg17433,neg1630
neg16414,neg17435,neg16323
neg1642,neg17439,neg1633
neg16437,neg17478,neg16341
neg1650,neg17480,neg16374
neg1651,neg17485,neg16375
neg16530,neg17491,neg16380
neg16553,neg17540,neg16381
neg16566,neg17547,neg16384
neg1657,neg17593,neg16395
neg16617,neg17608,neg16404
neg16625,neg17618,neg16414
neg1663,neg17622,neg1642
neg16631,neg17632,neg16437
neg16632,neg1765,neg1650
neg16633,neg17651,neg1651
neg16634,neg1769,neg16530
neg16643,neg17695,neg16553
neg16652,neg17715,neg16566
neg16655,neg17754,neg1657
neg16666,neg17763,neg16617
neg16668,neg17767,neg16625
neg1667,neg17771,neg1663
neg16698,neg17776,neg16631
neg16719,neg17781,neg16632
neg1675,neg17788,neg16633
neg16757,neg1782,neg16634
neg16779,neg17822,neg16643
neg16786,neg17868,neg16652
neg16805,neg17869,neg16655
neg1681,neg17904,neg16666
neg16818,neg17910,neg16668
neg16834,neg17941,neg1667
neg16836,neg1795,neg16697
neg16840,neg17981,neg16698
neg16845,neg17983,neg16719
neg16849,neg17989,neg1675
neg16881,neg1800,neg16757
neg16887,neg18015,neg16779
neg1689,neg18044,neg16786
neg16892,neg18059,neg16805
neg16926,neg1806,neg1681
neg16927,neg18082,neg16818
neg16938,neg18107,neg16834
neg1694,neg18119,neg16836
neg16941,neg1812,neg16840
neg1700,neg1813,neg16845
neg17007,neg18174,neg16849
neg17044,neg18185,neg16881
neg17050,neg18198,neg16887
neg17058,neg18203,neg1689
neg17085,neg18225,neg16892
neg17096,neg18246,neg16926
neg17107,neg18255,neg16927
neg1711,neg18296,neg16938
neg1712,neg18309,neg1694
neg17128,neg18311,neg16941
neg17131,neg18316,neg1700
neg1718,neg18317,neg17007
neg172,neg18319,neg17044
neg17214,neg18320,neg17050
neg1723,neg18334,neg17058
neg17238,neg18335,neg17085
neg17257,neg18336,neg17096
neg17259,neg18341,neg17107
neg17261,neg18361,neg1711
neg17265,neg18388,neg1712
neg17268,neg18410,neg17128
neg17271,neg18419,neg17131
neg17277,neg18427,neg1718
neg17285,neg18445,neg172
neg17295,neg18454,neg17214
neg17296,neg18473,neg1723
neg17297,neg1848,neg17238
neg17310,neg1849,neg17257
neg17315,neg18491,neg17259
neg1732,neg18499,neg17261
neg17327,neg185,neg17265
neg17337,neg18503,neg17268
neg17353,neg18510,neg17271
neg17356,neg18512,neg17277
neg17363,neg1854,neg17285
neg17368,neg18548,neg17295
neg17375,neg18550,neg17296
neg17378,neg18556,neg17297
neg17392,neg18562,neg17310
neg17393,neg18575,neg17315
neg17409,neg18577,neg1732
neg17431,neg18581,neg17327
neg17433,neg18584,neg17337
neg17435,neg18594,neg17353
