OTU,Phylum,Order
ASV3334,Planctomycetota,Isosphaerales
ASV3335,Proteobacteria,Rhizobiales
ASV3337,Actinobacteriota,Others
ASV3339,Acidobacteriota,Acidobacteriales
ASV3340,Proteobacteria,Rhizobiales
ASV3341,Others,Bacteroidota
ASV3342,Proteobacteria,Acetobacterales
ASV3343,Proteobacteria,Others
ASV3346,Proteobacteria,Others
ASV3347,Others,Others
ASV3351,Acidobacteriota,Acidobacteriales
ASV3352,Proteobacteria,Sphingomonadales
ASV3353,Proteobacteria,Others
ASV3356,Actinobacteriota,Others
ASV3357,Actinobacteriota,Others
ASV3358,Actinobacteriota,Others
ASV3359,Actinobacteriota,Others
ASV3360,Actinobacteriota,Solirubrobacterales
ASV3361,Actinobacteriota,Others
ASV3362,Acidobacteriota,Acidobacteriales
ASV3363,Actinobacteriota,Pseudonocardiales
ASV3364,Actinobacteriota,Others
ASV3365,Actinobacteriota,Solirubrobacterales
ASV3366,Actinobacteriota,Others
ASV3367,Others,Bacteroidota
ASV3368,Actinobacteriota,Others
ASV3369,Proteobacteria,Others
ASV3370,Actinobacteriota,Frankiales
ASV3371,Actinobacteriota,Micrococcales
ASV3372,Others,Bacteroidota
ASV3373,Actinobacteriota,Solirubrobacterales
ASV3375,Actinobacteriota,Corynebacteriales
ASV3376,Proteobacteria,Acetobacterales
ASV3377,Actinobacteriota,Others
ASV3379,Planctomycetota,Isosphaerales
ASV3381,Actinobacteriota,Micrococcales
ASV3382,Acidobacteriota,Acidobacteriales
ASV3387,Proteobacteria,Others
ASV3388,Proteobacteria,Rhizobiales
ASV3389,Acidobacteriota,Acidobacteriales
ASV3390,Proteobacteria,Rhizobiales
ASV3392,Proteobacteria,Others
ASV3393,Proteobacteria,Caulobacterales
ASV3395,Acidobacteriota,Acidobacteriales
ASV3397,Actinobacteriota,Others
ASV3402,Firmicutes,Bacillales
ASV3403,Firmicutes,Bacillales
ASV3404,Proteobacteria,Rhizobiales
ASV3405,Firmicutes,Bacillales
ASV3406,Firmicutes,Bacillales
ASV3415,Proteobacteria,Pseudomonadales
ASV3416,Proteobacteria,Acetobacterales
ASV3417,Proteobacteria,Acetobacterales
ASV3418,Actinobacteriota,Others
ASV3420,Actinobacteriota,Others
ASV3421,Proteobacteria,Acetobacterales
ASV3422,Acidobacteriota,Acidobacteriales
ASV3424,Proteobacteria,Caulobacterales
ASV3425,Actinobacteriota,Solirubrobacterales
ASV3427,Planctomycetota,Tepidisphaerales
ASV3429,Proteobacteria,Others
