"","C-FOMI-AGAR-POT-63-16S","C-FOMI-AGAR-POT-64-16S","C-PENI-AGAR-OAT-65-16S","C-PENI-AGAR-OAT-66-16S","C-PENI-AGAR-POT-56-16S","C-PENI-AGAR-POT-57-16S","C-PENI-AGAR-POT-62-16S","C-UNKN-AGAR-OAT-50-16S","C-UNKN-AGAR-OAT-52-16S","C-UNKN-AGAR-OAT-59-16S","C-UNKN-AGAR-OAT-60-16S","C-UNKN-AGAR-OAT-61-16S","C-UNKN-AGAR-POT-55-16S","C-UNKN-AGAR-POT-67-16S","F-MSUB-WOOD-EPB-20-16S","F-MSUB-WOOD-EPB-22-16S","F-MSUB-WOOD-SAB-28-16S","L-CBRA-BARK-BOJ-02-16S","L-CFUR-BARK-BOJ-01-16S","L-CFUR-BARK-BOJ-11-16S","L-CFUR-BARK-BOJ-12-16S","L-CFUR-WOOD-BOJ-15-16S","L-CSTE-BARK-UKN-42-16S","L-CSTE-WOOD-EPB-39-16S","L-CTRI-BARK-BOJ-06-16S","L-CTRI-BARK-BOJ-08-16S","L-CTRI-BARK-BOJ-21-16S","L-CTRI-BARK-BOJ-36-16S","L-CTRI-BARK-BOJ-46-16S","L-CTRI-WOOD-BOJ-26-16S"
"ASV131",6.46330673102491,0,6.34588580179877,0,3.92461300970249,0,0,4.79090288208497,0,0,0,0,0,0,0,3.68837330542942,0,0,0,0,0,0,0,0,0,0,0,4.72833596520326,0,6.77327089129262
"ASV133",0,0,0,0,0,0,2.30176047618774,0,0,0,0,0,0,0,0,0,0,0,8.33260281165948,4.38368958166871,5.41108889676804,4.46218702208956,0,0,0,2.30462387086484,0,0,0,4.29978489623515
"ASV134",0,0,0,4.79190090983114,5.32974085752074,3.41333204217858,3.92158962618573,5.36898591053978,5.15445900707788,0,4.12608165672493,4.79190090983114,4.53394269090796,5.06234946917464,4.30659920568853,5.48237530309777,0,0,0,0,0,0,0,0,4.02983007942743,0,0,5.97356070583215,0,0
"ASV136",0,0,0,0,0,0,3.24421653788547,0,0,0,0,0,0,0,0,0,0,0,8.30172523608578,4.38368958166871,5.55787808298118,0,0,0,0,1.92609533022279,0,0,0,4.90273326197918
"ASV137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34059728172964,6.14845607558763,3.2471928104918,0,4.304750616241,0,0,0,0,0,0,0,0
"ASV138",0,0,0,6.23816525004601,6.49630442822742,0,0,0,5.97461100623705,0,0,0,0,0,0,0,6.80600407698766,0,0,0,0,0,0,0,4.90677451143736,4.46025900284941,0,0,0,4.95647555395061
"ASV139",0,0,0,0,0,0,0,0,6.74406161129867,6.51632716768477,0,4.66823649463597,0,0,0,5.51858190122033,0,0,0,0,0,0,0,6.12611518180322,0,0,0,4.12304793015951,0,0
"ASV141",4.12984438172934,6.32825731515022,0,3.2471928104918,4.46025900284941,0,0,4.90479687294342,4.66622157560777,0,4.79190090983114,4.02886234577662,0,3.81320066565672,0,3.81024719328316,0,0,0,0,0,0,0,0,0,6.61827246874322,0,4.5991340155307,0,0
"ASV142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78157036061373,0,0,0,3.69226153352378,0,0,6.53320452407487,6.10240486119243,4.95953976741691,4.67110674940883,0,0,7.00769986366516
"ASV143",0,0,3.69318501154661,3.55721876857149,4.60218723558553,2.85443448339978,4.02583343452227,5.10870917808504,4.90377627872355,1.41205935111211,4.30282660421151,3.69035789326146,4.46123284417427,5.01233244663676,4.46403945671636,5.36796158283455,0,0,0,0,0,0,0,0,4.732370330589,0,0,5.65390393269558,0,2.30176047618774
"ASV144",0,0,0,3.69035789326146,5.78157036061373,0,0,5.89524260088939,5.8663892652909,0,0,0,5.52159396394172,0,0,6.49426674019725,0,0,0,0,0,0,0,0,0,0,0,4.78884152057317,0,0
"ASV145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9283629355959,0,0,0,0,0,0,0,0,0,7.33027350423044,0,6.3659660116617,0,0,3.92158962618573
"ASV146",0,0,0,0,0,0,3.06000183547625,0,0,0,0,0,0,3.69131941685597,0,0,0,0,8.14239170450967,4.46025900284941,5.55787808298118,0,0,0,0,1.41036919101578,0,2.84873795337134,0,4.72833596520326
"ASV147",4.53675179125996,0,2.60671215218126,3.812236741275,5.24571139437317,1.92872125959552,2.84873795337134,4.79090288208497,5.10768679689565,2.30643526573662,3.41052348130679,4.02886234577662,4.79287836781391,5.20276788611211,4.22092765425545,5.44523656555716,0,0,0,0,0,0,0,0,3.92557897962707,0,0,5.10664195262921,0,3.06000183547625
"ASV148",0,0,4.128931537079,4.02886234577662,4.95953976741691,3.81507091403104,3.06000183547625,5.060369148466,4.84795355714375,3.0648331492074,3.812236741275,4.90579598864371,5.01233244663676,5.69013708288908,0,5.55390200947369,3.55721876857149,0,0,0,0,0,0,0,0,0,0,5.28526564668115,0,0
"ASV150",0,0,0,0,0,0,4.02583343452227,0,0,0,0,1.41036919101578,0,0,0,0,0,0,8.10114362839058,4.38368958166871,5.371933038044,0,0,0,4.60316272525049,2.60398111002659,0,0,0,4.12304793015951
"ASV151",0,0,4.90867305664251,3.0629611624422,4.73139347292034,4.22001354027792,2.84873795337134,5.060369148466,5.10768679689565,3.24907549934226,3.55721876857149,5.20178695471371,4.96051876457815,5.65796700388645,0,5.32771431319128,3.41052348130679,0,0,0,0,0,0,0,0,0,0,5.48132769944653,0,0
"ASV152",0,0,3.0657412859729,4.30282660421151,5.10971004193674,3.81507091403104,3.24421653788547,4.95854016703806,4.45824896550972,2.85353312709936,3.55721876857149,4.12608165672493,4.38466246531215,4.90677451143736,4.60597408218802,5.05934716862036,0,0,0,0,0,0,0,0,4.30379842084143,0,0,5.44418920483241,0,2.84873795337134
"ASV153",0,0,0,2.60398111002659,6.60146717250578,0,0,0,0,0,0,3.2471928104918,6.99899804636845,4.60316272525049,0,5.51858190122033,4.21715969204709,0,0,0,0,0,0,0,0,0,0,6.19092101787551,0,0
"ASV156",0,0,0,0,0,0,0,0,0,0,6.56725765027284,0,0,0,0,4.95751907737788,6.84935376770357,0,4.60218723558553,6.54984380383027,3.92652545007672,0,0,4.6692126986763,0,0,0,0,0,0
"ASV157",0,0,3.41333204217858,3.812236741275,4.79190090983114,2.85443448339978,2.84873795337134,3.92362671955078,5.0093314069448,2.60582003835657,4.12608165672493,4.12608165672493,4.6692126986763,5.15746358935306,3.9283629355959,5.19976226821802,0,0,0,0,0,0,0,0,3.81320066565672,0,0,5.97356070583215,0,4.38064452946185
"ASV158",4.30659920568853,0,0,3.69035789326146,4.95953976741691,1.41287934986477,3.40753382560632,5.01035295730335,5.24368605165158,3.24907549934226,3.69035789326146,3.812236741275,4.30379842084143,5.01233244663676,3.56094036747309,5.48237530309777,0,0,0,0,0,0,0,0,4.21813031247312,0,0,5.62100082902414,0,3.40753382560632
"ASV159",0,0,0,0,0,0,6.43761185429644,0,0,0,0,3.92461300970249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.16262609377105,0,0,0
"ASV160",4.22092765425545,0,5.15936614848676,3.92461300970249,3.92461300970249,0,0,4.30183434039076,4.12408106414509,3.69226153352378,0,3.69035789326146,3.92557897962707,0,6.50013678267267,4.21515630946021,0,0,0,0,0,0,0,5.33072268808443,3.55817743476339,0,0,5.19871667877188,0,5.05830273480614
"ASV161",0,0,0,4.38368958166871,4.95953976741691,0,0,5.36898591053978,5.24368605165158,2.30643526573662,3.41052348130679,3.812236741275,4.6692126986763,4.90677451143736,0,5.36796158283455,0,0,0,0,0,0,0,0,0,4.79190090983114,0,5.77848908093554,0,3.06000183547625
"ASV162",0,0,0,0,0,0,3.06000183547625,0,0,0,0,0,0,3.24814374828883,0,0,0,0,8.11304962187257,4.60218723558553,5.75336636868146,0,0,0,0,1.41036919101578,0,0,0,3.92158962618573
"ASV163",0,0,0,0,4.38368958166871,4.38655008001745,0,4.6672397480831,3.81024719328316,0,0,0,6.26073369361373,0,0,4.12408106414509,0,0,0,0,0,0,0,4.02983007942743,4.90677451143736,0,0,4.29978489623515,0,4.12304793015951
"ASV164",0,0,0,0,0,0,3.55421827542867,0,0,0,0,0,0,4.90677451143736,0,0,0,0,8.0149314604186,4.21715969204709,5.15842437886,0,0,0,0,3.2471928104918,0,0,0,4.66518103555497
"ASV165",2.3081757793488,0,3.0657412859729,4.12608165672493,5.28833785589375,2.85443448339978,3.24421653788547,4.73039605853481,5.10768679689565,2.60582003835657,3.0629611624422,3.92461300970249,3.92557897962707,4.6692126986763,4.38746632135826,4.84795355714375,0,0,0,0,0,0,0,0,4.46123284417427,0,0,5.86533948205206,0,2.84873795337134
"ASV168",0,0,0,3.812236741275,3.55721876857149,0,0,0,0,0,0,3.69035789326146,0,0,0,0,0,0,0,0,0,0,0,7.9174500856566,0,0,6.48090961447687,0,0,0
"ASV169",0,0,0,0,3.55721876857149,4.38655008001745,0,4.5319727696329,4.45824896550972,0,0,0,5.52159396394172,0,0,4.02686492754735,6.89143879945243,0,0,0,0,0,0,4.12705092677855,4.30379842084143,0,0,4.72833596520326,0,4.78884152057317
"ASV170",0,0,0,0,0,0,4.38064452946185,0,0,0,0,0,0,0,0,0,0,7.47770170267593,5.28833785589375,4.46025900284941,5.449210011952,5.65893093386777,0,0,3.81320066565672,0,0,0,0,0
"ASV171",0,0,0,0,0,0,4.38064452946185,0,0,0,0,4.12608165672493,0,0,0,0,0,0,7.28786906850364,5.01135300837303,5.52255714224511,0,6.03075431620758,0,0,3.92461300970249,0,0,0,2.60107412473747
"ASV172",4.12984438172934,0,0,0,4.46025900284941,3.41333204217858,2.60107412473747,4.60119121893146,5.15445900707788,3.0648331492074,3.812236741275,5.01135300837303,4.53394269090796,6.05378215293115,0,5.24368605165158,3.2471928104918,0,0,0,0,0,0,0,0,0,0,5.74833685701563,0,0
"ASV173",0,0,0,0,0,0,4.21412173319146,0,0,0,0,0,0,0,0,0,0,7.46844461958842,5.20178695471371,4.79190090983114,0,5.449210011952,0,0,4.96051876457815,4.95953976741691,0,0,0,0
"ASV174",0,0,0,0,0,0,0,0,0,0,0,3.812236741275,0,0,0,0,0,0,5.68915311105468,5.59040786371274,6.12708121594735,6.00442891630103,6.42458225801179,4.85095022138614,0,0,0,0,0,0
"ASV175",0,0,0,0,4.12608165672493,4.22001354027792,4.02583343452227,5.01035295730335,5.15445900707788,3.55911675348362,3.55721876857149,4.66823649463597,4.60316272525049,5.37097077607442,0,5.15445900707788,3.69035789326146,0,0,0,0,0,0,0,0,0,0,5.62100082902414,0,0
"ASV176",0,0,0,0,0,0,3.68734844491572,0,0,0,0,0,0,0,0,0,7.87510927508262,3.69318501154661,0,4.53296798524737,0,5.11165071281033,4.22001354027792,0,0,0,0,0,0,4.38064452946185
"ASV177",4.60597408218802,0,0,0,4.30282660421151,4.22001354027792,3.24421653788547,4.02787425360618,4.78988339997421,3.0648331492074,3.69035789326146,5.06136961969284,4.85095022138614,5.86940692169565,0,4.84795355714375,2.8516751299437,0,0,0,0,0,0,0,0,0,0,5.68607330537979,0,0
"ASV178",3.56094036747309,0,0,0,4.46025900284941,4.30568396730808,0,4.95854016703806,5.68712214246172,2.85353312709936,3.812236741275,4.79190090983114,4.79287836781391,5.69013708288908,0,5.05934716862036,3.812236741275,0,0,0,0,0,0,0,0,0,0,5.19871667877188,0,0
"ASV179",4.12984438172934,0,0,0,7.1900946164084,3.81507091403104,0,6.47699919373548,0,0,0,0,0,3.81320066565672,0,6.09938414052204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV180",0,0,0,0,0,5.20467109991694,0,6.0268502704716,0,0,0,0,5.69013708288908,0,5.37380115182379,0,6.61827246874322,0,0,0,0,0,0,0,0,4.46025900284941,0,0,0,5.10664195262921
"ASV181",0,0,0,0,0,0,3.24421653788547,0,0,0,0,0,0,4.46123284417427,0,0,0,0,7.95003627402198,3.69035789326146,5.11165071281033,0,0,0,0,2.30462387086484,0,0,0,4.21412173319146
