name+AF8-sirius,Pathway,Class,Subclass
neg9247,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9278,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9445,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9607,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9659,Amino acids and Peptides,Amino acids,Amino acids and derivatives
neg9683,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1038,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1054,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1078,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1116,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1157,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1174,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1175,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1176,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1187,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1203,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1255,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1261,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1269,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1274,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1275,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1317,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1362,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1366,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1374,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1381,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1382,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1481,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1545,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1561,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1562,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1603,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1605,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1610,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1626,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1648,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1704,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1779,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1792,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1842,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1913,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1940,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos1972,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2011,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2060,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2171,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2207,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2221,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2233,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2308,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2325,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2416,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2423,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2461,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2554,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2620,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2748,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2841,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2849,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2887,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2917,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2918,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2937,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2945,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos2978,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3054,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3057,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3106,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3187,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3188,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3199,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3209,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3222,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3252,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3285,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3290,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3306,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3331,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3408,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3553,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos362,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3681,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3711,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3776,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3779,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3784,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3794,Amino acids and Peptides,Amino acids,Amino acids and derivatives
pos3797,Amino acids and Peptides,Amino acids,Amino acids and derivatives
